vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
BUS_2_DIR3_T62506.0,Bus,41,0.9966341689879294,23,0.012457927112349118,41,41,10,20155.0,1385.0
BUS_2_DIR3_T62512.0,Bus,30,0.7821727019498608,17,0.00977715877437326,30,30,13,19967.0,1573.0
BUS_2_DIR3_T62522.0,Bus,18,0.43228876508820796,10,0.0054036095636026,18,18,13,19878.0,1662.0
BUS_2_DIR3_T62526.0,Bus,18,0.46891829155060355,10,0.0058614786443825445,18,18,10,20080.0,1460.0
BUS_2_DIR3_T62534.0,Bus,21,0.49303621169916434,11,0.006162952646239554,21,21,11,20184.0,1356.0
BUS_2_DIR3_T62540.0,Bus,30,0.7353528319405757,16,0.009191910399257196,30,30,12,19979.0,1561.0
BUS_2_DIR3_T62548.0,Bus,23,0.6064531104921077,12,0.007580663881151346,23,23,13,19867.0,1673.0
BUS_2_DIR3_T62552.0,Bus,26,0.5234447539461468,14,0.0065430594243268345,26,26,12,20299.0,1241.0
BUS_2_DIR3_T62566.0,Bus,39,0.8079619312906221,22,0.010099524141132776,39,39,12,20305.0,1235.0
BUS_2_DIR3_T62574.0,Bus,30,0.8389740018570102,17,0.010487175023212628,30,30,12,20013.0,1527.0
BUS_2_DIR3_T62578.0,Bus,31,0.7700557103064067,19,0.009625696378830085,31,31,13,19869.0,1671.0
BUS_2_DIR3_T62586.0,Bus,6,0.20610492107706593,3,0.0025763115134633243,6,6,12,19973.0,1567.0
BUS_2_DIR3_T62592.0,Bus,36,1.0440343546889508,27,0.013050429433611885,36,36,12,19816.0,1724.0
BUS_2_DIR3_T62600.0,Bus,38,0.8961467038068709,25,0.011201833797585886,38,38,14,19942.0,1598.0
BUS_2_DIR3_T62612.0,Bus,59,1.439531104921077,35,0.017994138811513464,59,59,13,20000.0,1540.0
BUS_2_DIR3_T62626.0,Bus,32,0.7542014856081708,20,0.009427518570102135,32,32,10,20311.0,1229.0
BUS_2_DIR3_T62630.0,Bus,51,1.2692200557103064,31,0.01586525069637883,51,51,13,20085.0,1455.0
BUS_2_DIR3_T62638.0,Bus,26,0.7621866295264624,13,0.00952733286908078,26,26,10,19790.0,1750.0
BUS_2_DIR3_T62644.0,Bus,36,0.7939879294336118,19,0.009924849117920149,36,36,13,20055.0,1485.0
BUS_2_DIR3_T62652.0,Bus,36,0.8818477251624884,19,0.011023096564531105,36,36,13,19924.0,1616.0
BUS_2_DIR3_T62656.0,Bus,43,1.0493268337975858,27,0.013116585422469823,43,43,13,19907.0,1633.0
BUS_2_DIR3_T62664.0,Bus,46,1.063091922005571,23,0.013288649025069637,46,46,13,20031.0,1509.0
BUS_2_DIR3_T62676.0,Bus,30,0.6876973073351903,18,0.008596216341689878,30,30,13,20118.0,1422.0
BUS_2_DIR3_T62690.0,Bus,58,1.4389275766016714,35,0.01798659470752089,58,58,12,20106.0,1434.0
BUS_2_DIR3_T62702.0,Bus,26,0.6206360259981429,17,0.007757950324976786,26,26,11,20060.0,1480.0
BUS_2_DIR3_T62710.0,Bus,22,0.6448003714020427,15,0.008060004642525534,22,22,13,19894.0,1646.0
BUS_2_DIR3_T62716.0,Bus,23,0.4483519034354689,17,0.005604398792943361,23,23,10,20244.0,1296.0
BUS_2_DIR3_T62726.0,Bus,40,0.8795264623955432,23,0.01099408077994429,40,40,13,20120.0,1420.0
BUS_2_DIR3_T62734.0,Bus,38,0.9279480037140204,24,0.011599350046425256,38,38,10,20062.0,1478.0
BUS_2_DIR3_T62744.0,Bus,18,0.42365366759517176,15,0.005295670844939647,18,18,14,20068.0,1472.0
BUS_2_DIR3_T62754.0,Bus,0,0.0,0,0.0,0,0,8,21540.0,0.0
BUS_2_DIR3_T62764.0,Bus,0,0.0,0,0.0,0,0,12,21540.0,0.0
BUS_2_DIR4_T62521.0,Bus,94,2.4081940575673166,64,0.030102425719591458,94,94,11,20178.0,1362.0
BUS_2_DIR4_T62529.0,Bus,36,0.8646703806870938,23,0.010808379758588673,36,36,12,20097.0,1443.0
BUS_2_DIR4_T62535.0,Bus,46,1.3316388115134634,25,0.016645485143918292,46,46,14,19825.0,1715.0
BUS_2_DIR4_T62543.0,Bus,20,0.4754874651810585,13,0.005943593314763232,20,20,10,20197.0,1343.0
BUS_2_DIR4_T62547.0,Bus,46,1.3620241411327763,34,0.017025301764159704,46,46,14,19848.0,1692.0
BUS_2_DIR4_T62561.0,Bus,32,0.707544103992572,21,0.00884430129990715,32,32,12,20211.0,1329.0
BUS_2_DIR4_T62569.0,Bus,54,1.3578226555246053,32,0.016972783194057567,54,54,14,19936.0,1604.0
BUS_2_DIR4_T62573.0,Bus,36,0.909493964716806,27,0.011368674558960075,36,36,13,20043.0,1497.0
BUS_2_DIR4_T62581.0,Bus,29,0.6580315691736305,17,0.008225394614670381,29,29,12,20061.0,1479.0
BUS_2_DIR4_T62587.0,Bus,40,1.0799675023212627,27,0.013499593779015783,40,40,14,20063.0,1477.0
BUS_2_DIR4_T62595.0,Bus,27,0.6279944289693593,15,0.00784993036211699,27,27,12,20316.0,1224.0
BUS_2_DIR4_T62607.0,Bus,93,2.3278783658310123,63,0.029098479572887654,93,93,14,19980.0,1560.0
BUS_2_DIR4_T62621.0,Bus,97,2.4786908077994427,63,0.030983635097493033,97,97,13,19919.0,1621.0
BUS_2_DIR4_T62625.0,Bus,48,1.1224930362116992,30,0.01403116295264624,48,48,11,20248.0,1292.0
BUS_2_DIR4_T62633.0,Bus,59,1.5986768802228413,35,0.019983461002785516,59,59,13,19855.0,1685.0
BUS_2_DIR4_T62639.0,Bus,21,0.5461931290622098,11,0.006827414113277623,21,21,13,20059.0,1481.0
BUS_2_DIR4_T62653.0,Bus,40,0.8950789229340761,22,0.011188486536675951,40,40,13,20083.0,1457.0
BUS_2_DIR4_T62657.0,Bus,44,1.3220055710306406,35,0.016525069637883007,44,44,14,19862.0,1678.0
BUS_2_DIR4_T62665.0,Bus,35,0.9553156917363046,35,0.011941446146703807,35,35,9,20815.0,725.0
BUS_2_DIR4_T62671.0,Bus,37,0.9016480965645312,29,0.011270601207056639,37,37,14,20050.0,1490.0
BUS_2_DIR4_T62683.0,Bus,69,1.9262999071494893,45,0.024078748839368617,69,69,14,20034.0,1506.0
BUS_2_DIR4_T62685.0,Bus,1,0.018291550603528318,1,0.00022864438254410397,1,1,4,21142.0,398.0
BUS_2_DIR4_T62693.0,Bus,68,2.039577530176416,49,0.0254947191272052,68,68,12,19975.0,1565.0
BUS_2_DIR4_T62701.0,Bus,54,1.5046657381615598,31,0.018808321727019496,54,54,14,19921.0,1619.0
BUS_2_DIR4_T62709.0,Bus,43,1.0817548746518106,27,0.013521935933147633,43,43,11,20304.0,1236.0
BUS_2_DIR4_T62731.0,Bus,96,2.6785747446610957,50,0.0334821843082637,96,96,13,20019.0,1521.0
BUS_2_DIR4_T62737.0,Bus,32,0.7175487465181059,18,0.008969359331476323,32,32,9,20341.0,1199.0
BUS_2_DIR4_T62743.0,Bus,0,0.0,0,0.0,0,0,2,21540.0,0.0
BUS_2_DIR4_T62747.0,Bus,54,1.6153899721448468,42,0.020192374651810584,54,54,14,19934.0,1606.0
BUS_2_DIR4_T62757.0,Bus,31,0.7714484679665738,22,0.009643105849582173,31,31,13,20065.0,1475.0
BUS_2_DIR4_T62763.0,Bus,55,1.432799442896936,32,0.0179099930362117,55,55,11,20052.0,1488.0
BUS_2_DIR4_T62775.0,Bus,0,0.0,0,0.0,0,0,7,21540.0,0.0
BUS_2_DIR4_T62777.0,Bus,17,0.4928505106778087,15,0.006160631383472609,17,17,14,20190.0,1350.0
BUS_2_DIR4_T62785.0,Bus,0,0.0,0,0.0,0,0,11,21540.0,0.0
BUS_2_DIR4_T62793.0,Bus,0,0.0,0,0.0,0,0,14,21540.0,0.0
BUS_6_DIR4_T66329.0,Bus,50,1.0450324976787373,34,0.013062906220984216,50,50,12,20352.0,1188.0
BUS_6_DIR4_T66337.0,Bus,34,0.7068245125348189,25,0.008835306406685237,34,34,12,20473.0,1067.0
BUS_6_DIR4_T66345.0,Bus,33,0.815297121634169,21,0.010191214020427112,33,33,12,19955.0,1585.0
BUS_6_DIR4_T66353.0,Bus,39,0.8890204271123491,22,0.011112755338904363,39,39,10,20161.0,1379.0
BUS_6_DIR4_T66361.0,Bus,26,0.6849350046425255,15,0.008561687558031569,26,26,11,19832.0,1708.0
BUS_6_DIR4_T66369.0,Bus,20,0.5028551532033426,13,0.006285689415041783,20,20,12,20280.0,1260.0
BUS_6_DIR4_T66377.0,Bus,37,0.8928505106778087,24,0.011160631383472609,37,37,12,20055.0,1485.0
BUS_6_DIR4_T66385.0,Bus,15,0.3955896007428041,13,0.004944870009285051,15,15,8,20345.0,1195.0
BUS_6_DIR4_T66393.0,Bus,34,0.9397864438254411,24,0.011747330547818013,34,34,12,20148.0,1392.0
BUS_6_DIR4_T66401.0,Bus,34,0.9350278551532033,22,0.011687848189415042,34,34,12,19985.0,1555.0
BUS_6_DIR4_T66409.0,Bus,26,0.7928505106778088,16,0.00991063138347261,26,26,12,20030.0,1510.0
BUS_6_DIR4_T66417.0,Bus,48,1.1099814298978645,32,0.013874767873723307,48,48,9,20338.0,1202.0
BUS_6_DIR4_T66425.0,Bus,48,1.0826833797585886,24,0.013533542246982357,48,48,11,20069.0,1471.0
BUS_6_DIR4_T66433.0,Bus,41,1.042711234911792,28,0.0130338904363974,41,41,12,19918.0,1622.0
BUS_6_DIR4_T66441.0,Bus,59,1.5940111420612812,37,0.019925139275766016,59,59,12,20124.0,1416.0
BUS_6_DIR4_T66449.0,Bus,31,0.7642061281337047,22,0.009552576601671308,31,31,7,20339.0,1201.0
BUS_6_DIR4_T66457.0,Bus,33,0.740807799442897,20,0.009260097493036213,33,33,12,20164.0,1376.0
BUS_6_DIR4_T66465.0,Bus,39,1.0182451253481895,25,0.012728064066852368,39,39,12,19917.0,1623.0
BUS_6_DIR4_T66473.0,Bus,35,0.8136490250696379,21,0.010170612813370474,35,35,12,20176.0,1364.0
BUS_6_DIR4_T66481.0,Bus,16,0.4467502321262767,10,0.005584377901578458,16,16,9,20228.0,1312.0
BUS_6_DIR4_T66489.0,Bus,2,0.063347260909935,2,0.0007918407613741876,2,2,12,20712.0,828.0
BUS_6_DIR4_T66497.0,Bus,0,0.0,0,0.0,0,0,12,21540.0,0.0
BUS_6_DIR5_T66326.0,Bus,53,1.1474233983286908,38,0.014342792479108635,53,53,12,20318.0,1222.0
BUS_6_DIR5_T66334.0,Bus,10,0.2523676880222841,7,0.003154596100278551,10,10,8,20415.0,1125.0
BUS_6_DIR5_T66342.0,Bus,28,0.6363741875580315,19,0.007954677344475395,28,28,12,20465.0,1075.0
BUS_6_DIR5_T66358.0,Bus,25,0.527715877437326,14,0.006596448467966575,25,25,12,20456.0,1084.0
BUS_6_DIR5_T66366.0,Bus,16,0.34382544103992574,9,0.0042978180129990716,16,16,10,20522.0,1018.0
BUS_6_DIR5_T66374.0,Bus,20,0.4722841225626741,15,0.005903551532033426,20,20,12,20291.0,1249.0
BUS_6_DIR5_T66390.0,Bus,47,1.2997214484679667,34,0.016246518105849584,47,47,12,20213.0,1327.0
BUS_6_DIR5_T66398.0,Bus,35,0.9701949860724234,25,0.012127437325905292,35,35,11,20164.0,1376.0
BUS_6_DIR5_T66406.0,Bus,32,0.7847260909935004,20,0.009809076137418755,32,32,12,20394.0,1146.0
BUS_6_DIR5_T66422.0,Bus,33,1.1183379758588672,24,0.013979224698235839,33,33,12,20142.0,1398.0
BUS_6_DIR5_T66430.0,Bus,24,0.5309656453110492,17,0.0066370705663881145,24,24,8,20442.0,1098.0
BUS_6_DIR5_T66438.0,Bus,55,1.2799675023212627,33,0.015999593779015782,55,55,12,20345.0,1195.0
BUS_6_DIR5_T66446.0,Bus,28,0.6781104921077066,17,0.008476381151346333,28,28,12,20345.0,1195.0
BUS_6_DIR5_T66454.0,Bus,32,0.7928040854224698,21,0.009910051067780873,32,32,12,20269.0,1271.0
BUS_6_DIR5_T66462.0,Bus,13,0.2962395543175487,9,0.003702994428969359,13,13,10,20385.0,1155.0
BUS_6_DIR5_T66470.0,Bus,23,0.5726787372330547,13,0.007158484215413184,23,23,12,20371.0,1169.0
BUS_6_DIR5_T66478.0,Bus,11,0.3070798514391829,11,0.0038384981429897868,11,11,12,20458.0,1082.0
